portal_id	gwas_source_category	legacy_trait_group	trait_group	phenotype	phenotype_name	description	trait_type	is_dichotomous	is_complex	pigean_id	mapping_count	target_id	target_label	target_ontology	mapping_predicate	confidence	mapping_justification	source
KPN.TRAIT:0000001	portal	AGING_AND_LONGEVITY	aging	ARHI	Age-related hearing impairment	Age-related hearing impairment	phenotype	1	false		4	MESH:D011304	Presbycusis	MESH	skos:exactMatch	0.85	inherited	portal_to_mesh_curated_collected.tsv
KPN.TRAIT:0000001	portal	AGING_AND_LONGEVITY	aging	ARHI	Age-related hearing impairment	Age-related hearing impairment	phenotype	1	false		4	EFO:0005782	age-related hearing impairment	EFO	skos:exactMatch	0.85	inherited	amp-traits-mapping-portal-phenotypes_06262024.csv
KPN.TRAIT:0000001	portal	AGING_AND_LONGEVITY	aging	ARHI	Age-related hearing impairment	Age-related hearing impairment	phenotype	1	false		4	MONDO:0043765	presbycusis	MONDO	skos:relatedMatch	0.5	cross_reference	xref via EFO:0005782
KPN.TRAIT:0000001	portal	AGING_AND_LONGEVITY	aging	ARHI	Age-related hearing impairment	Age-related hearing impairment	phenotype	1	false		4	ICD10CM:H91.1	Presbycusis	ICD10CM	oboInOwl:hasDbXref	0.8	cross_reference	MONDO SSSOM via MONDO:0043765
KPN.TRAIT:0000002	portal	AGING_AND_LONGEVITY	aging	AgingGIP1	Aging-GIP1 principal component	Aging-GIP1 principal component	phenotype	0	false		1	EFO:0022597	aging	EFO	skos:broadMatch	0.85	inherited	amp-traits-mapping-portal-phenotypes_06262024.csv
KPN.TRAIT:0000003	portal	AGING_AND_LONGEVITY	aging	AgingGIP1AdjSocioEcon	Aging-GIP1 principal component adj socioeconomic status	Aging-GIP1 principal component adj socioeconomic status	adjusted	0	true		1	EFO:0022597	aging	EFO	skos:broadMatch	0.85	inherited	amp-traits-mapping-portal-phenotypes_06262024.csv
KPN.TRAIT:0000004	portal	AGING_AND_LONGEVITY	aging	CHIP	Clonal haematopoiesis of indeterminate potential (with or without mosaic chromosomal alteration)	Clonal haematopoiesis of indeterminate potential (with or without mosaic chromosomal alteration)	phenotype	1	false		2	MESH:D000082182	Clonal Hematopoiesis	MESH	skos:exactMatch	0.85	inherited	portal_to_mesh_curated_collected.tsv
KPN.TRAIT:0000004	portal	AGING_AND_LONGEVITY	aging	CHIP	Clonal haematopoiesis of indeterminate potential (with or without mosaic chromosomal alteration)	Clonal haematopoiesis of indeterminate potential (with or without mosaic chromosomal alteration)	phenotype	1	false		2	EFO:0010819	clonal hematopoiesis	EFO	skos:broadMatch	0.85	inherited	amp-traits-mapping-portal-phenotypes_06262024.csv
KPN.TRAIT:0000005	portal	AGING_AND_LONGEVITY	aging	CHIP_ASXL1	Clonal haematopoiesis of indeterminate potential (ASXL1 mutation)	Clonal haematopoiesis of indeterminate potential (ASXL1 mutation)	phenotype	1	false		2	MESH:D000082182	Clonal Hematopoiesis	MESH	skos:exactMatch	0.85	inherited	portal_to_mesh_curated_collected.tsv
KPN.TRAIT:0000005	portal	AGING_AND_LONGEVITY	aging	CHIP_ASXL1	Clonal haematopoiesis of indeterminate potential (ASXL1 mutation)	Clonal haematopoiesis of indeterminate potential (ASXL1 mutation)	phenotype	1	false		2	EFO:0010819	clonal hematopoiesis	EFO	skos:broadMatch	0.85	inherited	amp-traits-mapping-portal-phenotypes_06262024.csv
KPN.TRAIT:0000006	portal	AGING_AND_LONGEVITY	aging	CHIP_DNMT3A	Clonal haematopoiesis of indeterminate potential (DNMT3A mutation)	Clonal haematopoiesis of indeterminate potential (DNMT3A mutation)	phenotype	1	false		2	MESH:D000082182	Clonal Hematopoiesis	MESH	skos:exactMatch	0.85	inherited	portal_to_mesh_curated_collected.tsv
KPN.TRAIT:0000006	portal	AGING_AND_LONGEVITY	aging	CHIP_DNMT3A	Clonal haematopoiesis of indeterminate potential (DNMT3A mutation)	Clonal haematopoiesis of indeterminate potential (DNMT3A mutation)	phenotype	1	false		2	EFO:0010819	clonal hematopoiesis	EFO	skos:broadMatch	0.85	inherited	amp-traits-mapping-portal-phenotypes_06262024.csv
KPN.TRAIT:0000007	portal	AGING_AND_LONGEVITY	aging	CHIP_JAK2	Clonal haematopoiesis of indeterminate potential (JAK2 mutation)	Clonal haematopoiesis of indeterminate potential (JAK2 mutation)	phenotype	1	false		2	MESH:D000082182	Clonal Hematopoiesis	MESH	skos:exactMatch	0.85	inherited	portal_to_mesh_curated_collected.tsv
